parcel_id,property_name,street_address,city,state,zip,latitude,longitude,owner_name,owner_mailing_address,property_classification,building_area,year_built,source,source_date,lead_priority,visual_review_status,assigned_rep,outreach_status,notes,google_maps_url,google_earth_url,assessed_value
23 00 31 4 007 002.000,3015 CLAIRMONT LLC,3015 CLAIRMONT AVE,Birmingham,AL,35205,33.5111893,-86.7840394,3015 CLAIRMONT LLC,"P O BOX 131346, BIRMINGHAM, AL, 35213",Commercial (Class 2),Unknown - Visual Review Required,Unknown - Visual Review Required,JEFFERSON_TAX_LIEN,2026-04-28T22:00:02.550Z,,,,,,"https://www.google.com/maps/search/?api=1&query=33.5111893,-86.7840394","https://earth.google.com/web/search/33.5111893,-86.7840394",1350900
23 00 31 4 007 003.000,DEL CONTE PROPERTIES LLC,801 30TH ST S,Birmingham,AL,35205,33.511096,-86.784187,DEL CONTE PROPERTIES LLC,"1326 ATKINS TRIMM CIR, HOOVER, AL, 35226",Commercial (Class 2),Unknown - Visual Review Required,Unknown - Visual Review Required,JEFFERSON_TAX_LIEN,2026-04-28T22:00:19.300Z,,,,,,"https://www.google.com/maps/search/?api=1&query=33.511096,-86.784187","https://earth.google.com/web/search/33.511096,-86.784187",299600
23 00 31 4 009 002.001,REVIBE PROPERTIES LLC,923 28TH ST S,Birmingham,AL,35205,33.509009,-86.786503,REVIBE PROPERTIES LLC,"923 28TH ST S, BIRMINGHAM, AL, 35205-1211",Commercial (Class 2),Unknown - Visual Review Required,Unknown - Visual Review Required,JEFFERSON_TAX_LIEN,2026-04-28T22:00:53.620Z,,,,,,"https://www.google.com/maps/search/?api=1&query=33.509009,-86.786503","https://earth.google.com/web/search/33.509009,-86.786503",602900
23 00 31 4 022 001.000,39 HANOVER PARTNERS LLC,39 HANOVER CIR,Birmingham,AL,35205,33.5059273,-86.7867354,39 HANOVER PARTNERS LLC,"2400 ARLINGTON AVE S, BIRMINGHAM, AL, 35205",Commercial (Class 2),Unknown - Visual Review Required,Unknown - Visual Review Required,JEFFERSON_TAX_LIEN,2026-04-28T22:00:02.580Z,,,,,,"https://www.google.com/maps/search/?api=1&query=33.5059273,-86.7867354","https://earth.google.com/web/search/33.5059273,-86.7867354",5101800
23 00 31 4 022 002.366,BARNETT MICHAEL DAVID,57 HANOVER CIR,Birmingham,AL,35205,33.5054894,-86.7876311,BARNETT MICHAEL DAVID,"57 HANOVER CIRCLE APT 313, BIRMINGHAM, AL, 35205",Commercial (Class 2),Unknown - Visual Review Required,Unknown - Visual Review Required,JEFFERSON_TAX_LIEN,2026-04-28T22:00:06.530Z,,,,,,"https://www.google.com/maps/search/?api=1&query=33.5054894,-86.7876311","https://earth.google.com/web/search/33.5054894,-86.7876311",48700
23 00 31 4 024 006.000,FMP-SOUTHERN COURT/SOUTHERS LL,2811 11TH AVE S,Birmingham,AL,35205,33.5065346,-86.7845627,FMP-SOUTHERN COURT/SOUTHERS LL,"PO BOX 131346, BIRMINGHAM, AL, 35213-6346",Commercial (Class 2),Unknown - Visual Review Required,Unknown - Visual Review Required,JEFFERSON_TAX_LIEN,2026-04-28T22:00:23.533Z,,,,,,"https://www.google.com/maps/search/?api=1&query=33.5065346,-86.7845627","https://earth.google.com/web/search/33.5065346,-86.7845627",734400
28 00 06 1 003 006.000,FARRIS 2816 13TH AVENUE LLC,2816 13TH AVE S,Birmingham,AL,35205,33.5037306,-86.7818854,FARRIS 2816 13TH AVENUE LLC,"PO BOX 131346, BIRMINGHAM, AL, 35213",Commercial (Class 2),Unknown - Visual Review Required,Unknown - Visual Review Required,JEFFERSON_TAX_LIEN,2026-04-28T22:00:22.610Z,,,,,,"https://www.google.com/maps/search/?api=1&query=33.5037306,-86.7818854","https://earth.google.com/web/search/33.5037306,-86.7818854",580400
28 00 06 1 005 020.000,MERCURY FUNDING LLC,2724 HIGHLAND CT S,Birmingham,AL,35205,,,MERCURY FUNDING LLC,"P O BOX 772837, MEMPHIS, TN, 38177",Commercial (Class 2),Unknown - Visual Review Required,Unknown - Visual Review Required,JEFFERSON_TAX_LIEN,2026-04-28T22:00:44.150Z,,,,,,,,433600
28 00 06 1 011 001.331,REDHEADED LLC THE,2717 HIGHLAND AVE S,Birmingham,AL,35205,33.5008986,-86.7902691,REDHEADED LLC THE,"609 24TH AVE NW, BIRMINGHAM, AL, 35215",Commercial (Class 2),Unknown - Visual Review Required,Unknown - Visual Review Required,JEFFERSON_TAX_LIEN,2026-04-28T22:00:53.107Z,,,,,,"https://www.google.com/maps/search/?api=1&query=33.5008986,-86.7902691","https://earth.google.com/web/search/33.5008986,-86.7902691",170200
28 00 06 1 011 007.305,JMA ENTERPRISES (R/S),2727 HIGHLAND AVE S,Birmingham,AL,35205,,,JMA ENTERPRISES (R/S),"PO BOX 361224, BIRMINGHAM, AL, 35236",Commercial (Class 2),Unknown - Visual Review Required,Unknown - Visual Review Required,JEFFERSON_TAX_LIEN,2026-04-28T22:00:34.867Z,,,,,,,,43900
28 00 06 1 011 007.307,WADE JAMES LAWSON,2727 HIGHLAND AVE S,Birmingham,AL,35205,33.4999458,-86.7931632,WADE JAMES LAWSON,"2727 HIGHLAND AVENUE SOUTH UNIT 106A, BIRMINGHAM, AL, 35205",Commercial (Class 2),Unknown - Visual Review Required,Unknown - Visual Review Required,JEFFERSON_TAX_LIEN,2026-04-28T22:01:06.970Z,,,,,,"https://www.google.com/maps/search/?api=1&query=33.4999458,-86.7931632","https://earth.google.com/web/search/33.4999458,-86.7931632",43900
28 00 06 1 012 010.312,LAFERRY GEORGE D & DOROTHY A,1330 28TH ST S,Birmingham,AL,35205,33.502915,-86.78186,LAFERRY GEORGE D & DOROTHY A,"3476 BEASON COLE RD, STEELE, AL, 35987",Commercial (Class 2),Unknown - Visual Review Required,Unknown - Visual Review Required,JEFFERSON_TAX_LIEN,2026-04-28T22:00:38.227Z,,,,,,"https://www.google.com/maps/search/?api=1&query=33.502915,-86.78186","https://earth.google.com/web/search/33.502915,-86.78186",42400
28 00 06 1 015 001.318,CITIZENS BANK,2900 REDMONT PARK CIR,Birmingham,AL,35205,33.502532,-86.780242,CITIZENS BANK,"10561 TELEGRAPH ROAD, GLEN ALLEN, VA, 23059",Commercial (Class 2),Unknown - Visual Review Required,Unknown - Visual Review Required,JEFFERSON_TAX_LIEN,2026-04-28T22:00:14.797Z,,,,,,"https://www.google.com/maps/search/?api=1&query=33.502532,-86.780242","https://earth.google.com/web/search/33.502532,-86.780242",324000
